16532 & 10uF 0805$\geq$X5R$\geq$25V$\leq$20\% & \href{http://www.octopart.com/search?q=GRT21BC71E106KE13L}{GRT21BC71E106KE13L} & Y & C1,C3,C35 & 0805 & 2 & 3 \\ \hline
15331 & 0.1uF 0805$\geq$X5R$\geq$50V$\leq$20\% & \href{http://www.octopart.com/search?q=C0805C104M5RACTU}{C0805C104M5RACTU} & Y & C2,C7,C37 & 0805 & 2 & 3 \\ \hline
2131 & 100uF 0805$\geq$X5R$\geq$10V$\leq$20\% & \href{http://www.octopart.com/search?q=GRM21BR71A106KA73K}{GRM21BR71A106KA73K} & Y & C4,C36 & 0805 & 2 & 2 \\ \hline
2131 & 0.47uF 0805$\geq$X5R$\geq$25V$\leq$20\% & \href{http://www.octopart.com/search?q=GCM21BR71H474KA55K}{GCM21BR71H474KA55K} & Y & C5 & 0805 & 2 & 1 \\ \hline
2131 & 47uF 7343$\geq$X5R$\geq$25V$\leq$20\% & \href{http://www.octopart.com/search?q=T495X476K035ATE300}{T495X476K035ATE300} & Y & C6 & Custom & 2 & 1 \\ \hline
2131 & 4.7uF 0805$\geq$X5R$\geq$25V$\leq$20\% & \href{http://www.octopart.com/search?q=GRM21BR61E475KA12L}{GRM21BR61E475KA12L} & Y & C8,C11,C15,C27,C29, C31,C33 & 0805 & 2 & 7 \\ \hline
15331 & 0.1uF 0603$\geq$X5R$\geq$50V$\leq$20\% & \href{http://www.octopart.com/search?q=C0603C104M5RACTU}{C0603C104M5RACTU} & Y & C9,C12,C16,C17,C20, C23,C24,C25,C28,C30, C32,C34 & 0603 & 2 & 12 \\ \hline
2131 & 3.3uF 0805$\geq$X5R$\geq$25V$\leq$20\% & \href{http://www.octopart.com/search?q=GRM21BR61E335KA12L}{GRM21BR61E335KA12L} & Y & C10 & 0805 & 2 & 1 \\ \hline
1940 & 1nF 0603$\geq$X5R$\geq$50V$\leq$20\% & \href{http://www.octopart.com/search?q=C0603C102M5RACTU}{C0603C102M5RACTU} & Y & C13,C22 & 0603 & 2 & 2 \\ \hline
58143 & 10nF 0603$\geq$X5R$\geq$50V$\leq$20\% & \href{http://www.octopart.com/search?q=C0603C103M5RACTU}{C0603C103M5RACTU} & Y & C14,C21,C26 & 0603 & 2 & 3 \\ \hline
2131 & 18pF 0603$\geq$X5R$\geq$25V$\leq$20\% & \href{http://www.octopart.com/search?q=C0603C180K5RACTU}{C0603C180K5RACTU} & Y & C18,C19 & 0603 & 2 & 2 \\ \hline
  & Power & \href{http://www.aliexpress.com/wholesale?SearchText=DIKAVS DC005}{PJ-102AH} & Y & CN1 & Custom & 3 & 1 \\ \hline
  & TVS Diode & \href{http://www.aliexpress.com/wholesale?SearchText=SMBJ18CA}{SMBJ18CA} & N & D1 & DO-214AA (SMB) & 2 & 1 \\ \hline
  & LED RA & \href{http://www.octopart.com/search?q=LTST-S220KFKT}{LTST-S220KFKT} & N & D2,D5 & 2.1x1.0mmRightAngle & 2 & 2 \\ \hline
  & TVS Diode & \href{http://www.octopart.com/search?q=PGB1010603MR}{PGB1010603MR} & N & D3,D4 & 0603 & 2 & 2 \\ \hline
  & FUSE PTC 3.0A 24V & \href{http://www.aliexpress.com/wholesale?SearchText=MF-LSMF300/24X-2}{MF-LSMF300/24X-2} & N & F1 & 2920 7.36x5.12mm & 2 & 1 \\ \hline
  & FB 0603 $\geq$600R@100MHz $\leq$200mOhm@DC 1A $\leq$25\% & \href{http://www.octopart.com/search?q=MPZ1608S601ATA00}{MPZ1608S601ATA00} & Y & FB1,FB2,FB3,FB4 & 0603 & 2 & 4 \\ \hline
  & USB-C  & \href{http://www.aliexpress.com/wholesale?SearchText=TYPE-C-31-M-12}{TYPE-C-31-M-12} & Y & J2 & Custom & 15 & 1 \\ \hline
  & 40 Positions Header Connector (2.54mm) & \href{http://www.octopart.com/search?q=67996-440HLF}{67996-440HLF} & Y & J5 & 2x20 & 40 & 1 \\ \hline
  & MOSFET P-CH 30V & \href{http://www.octopart.com/search?q=DMP3099L-7}{DMP3099L-7} & N & Q1 & SOT-23-3 & 3 & 1 \\ \hline
23514 & 620 0603$\leq$1\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-07620RL}{RC0603FR-07620RL} & Y & R1 & 0603 & 2 & 1 \\ \hline
21904 & 1.5K 0603$\leq$5\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-071K5L}{RC0603FR-071K5L} & Y & R2 & 0603 & 2 & 1 \\ \hline
21904 & 1K 0603$\leq$5\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-071KL}{RC0603FR-071KL} & Y & R3,R20 & 0603 & 2 & 2 \\ \hline
23688 & 5.1K 0603$\leq$1\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-075K1L}{RC0603FR-075K1L} & Y & R4,R5 & 0603 & 2 & 2 \\ \hline
23688 & 10R 0603$\leq$1\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-0710RL}{RC0603FR-0710RL} & Y & R6,R7 & 0603 & 2 & 2 \\ \hline
23688 & 12K 0603$\leq$1\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-0712KL}{RC0603FR-0712KL} & Y & R8 & 0603 & 2 & 1 \\ \hline
23688 & 27R 0603$\leq$1\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-0727RL}{RC0603FR-0727RL} & Y & R9 & 0603 & 2 & 1 \\ \hline
26547 & 10K 0603$\leq$5\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-0710KL}{RC0603FR-0710KL} & Y & R10,R12,R13,R14 & 0603 & 2 & 4 \\ \hline
23688 & 1M 0603$\leq$1\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-071ML}{RC0603FR-071ML} & Y & R11 & 0603 & 2 & 1 \\ \hline
4597 & 2.2K 0603$\leq$5\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-072K2L}{RC0603FR-072K2L} & Y & R15 & 0603 & 2 & 1 \\ \hline
23889 & 4.7K 0603$\leq$5\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-074K7L}{RC0603FR-074K7L} & Y & R18,R19 & 0603 & 2 & 2 \\ \hline
23705 & 3.3K 0603$\leq$5\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-073K3L}{RC0603FR-073K3L} & Y & R21 & 0603 & 2 & 1 \\ \hline
23867 & 47 0603$\leq$1\%$\geq$1/10W & \href{http://www.octopart.com/search?q=RC0603FR-0747RL}{RC0603FR-0747RL} & Y & R22 & 0603 & 2 & 1 \\ \hline
  & IC REG LINEAR 3.3V 800MA & \href{http://www.octopart.com/search?q=LD1117S33TR}{LD1117S33TR} & Y & U2,U5 & SOT223 & 4 & 2 \\ \hline
  & USB Hi-Speed Dual Channel & \href{http://www.octopart.com/search?q=FT2232HL}{FT2232HL} & Y & U3 & LQFP-64 & 64 & 1 \\ \hline
  & 93LC56BT-I/OT & \href{http://www.octopart.com/search?q=93LC56B}{93LC56B} & Y & U4 & SOT23-6 & 6 & 1 \\ \hline
  & 5A SIMPLE SWITCHER & \href{http://www.octopart.com/search?q=LMZ22005TZ}{LMZ22005TZ} & Y & VR1 & Custom & 8 & 1 \\ \hline
  & Crystal 12 MHz. & \href{http://www.octopart.com/search?q=ABM7-12.000MHZ-D2Y-T}{ABM7-12.000MHZ-D2Y-T} & Y & Y1 & 6.00mm x 3.50mm & 2 & 1 \\ \hline
